"PID","Sale_Price"
908276150,74395.0319582755
903451090,145105.874533347
527110080,183013.629770717
535457010,138020.509061384
903484020,135403.376345373
905479110,119113.455508753
527452310,128491.26330748
528228445,185382.626649522
923225370,102088.113296334
528344040,334402.015274134
532377050,141029.56694694
535176050,144452.369551743
906340100,333466.888152431
533212050,159518.241700717
909428180,190928.651811708
535379110,135486.411726989
534250400,192383.831741287
527450520,108661.099305412
527452150,132825.768216803
903225040,130740.907147201
911370410,293084.343360314
905226080,158938.296525596
914467050,208853.002132856
908152260,145109.250415237
534451170,81037.3437720309
923228310,79205.2799324394
910201180,151164.893596789
534476100,134686.323584146
923225080,121276.111623114
906223210,235645.127990775
905480150,90687.4599460369
903452090,122072.552785409
527208010,377738.513304836
906426090,178734.473778279
903231090,136552.162879123
535152280,146705.83616225
528458180,218343.939212792
532354060,123333.828669439
909279040,109656.853394684
527353060,255836.994450114
916176030,154337.907954495
533110130,285919.470661088
911370450,281816.811453773
528118110,343452.198939879
528228270,196427.332011765
905480240,97284.0645283699
914460020,193929.834447551
534428060,137233.682337521
534252240,167643.911948775
908102050,108296.42173049
914475030,178370.88077005
533221040,172313.02413185
535451170,94827.7579246997
905451340,83159.4593403042
528118040,405261.829350939
903200080,203884.724156769
527162110,190068.705983031
535381040,155571.076412988
528174020,196095.197501859
534400290,167658.248810826
903206070,139331.725601841
533252130,210347.235974257
906382030,231673.74928645
535327200,132205.112525028
535455080,115146.814724666
527354160,189734.377850088
902207120,106947.921699773
909282060,207471.591705589
902109140,122132.685455444
902206270,129504.859109206
533250050,242721.699372234
909452050,230059.472450204
527212060,378647.942138254
906394060,187059.843435103
534401120,163134.831044944
528435010,222191.788131112
528315080,292834.364287689
909275030,161854.625790984
528102010,390780.419426524
907200290,154552.300312787
902300260,124060.271394876
528150110,337772.057718544
535450100,132621.206798047
907285010,233347.211755511
533253210,183887.45589608
527301280,147136.810079702
905478140,138911.028963853
902204080,89237.7157636029
907201280,136666.898515172
905476170,89291.2107469666
923228210,78890.6332685025
534226120,125102.439785871
527301170,221366.285997051
535453040,130163.778317839
535150300,224829.82722755
528363020,328099.205059136
907265100,213073.842736431
910200060,140294.158420858
532376160,130302.858260984
908204180,67268.8808901779
909282130,146463.817289079
528326110,342734.681894451
534176230,158638.774964907
527302210,222838.939530489
526355170,287894.365855705
535305180,140756.925764566
905452150,136878.122762325
902201090,128181.375018742
527452190,139873.858171365
908275280,140983.559678338
527402210,132721.827563927
921126010,298922.643434268
905109130,295228.402886341
535425070,192177.037738444
905200290,157928.241277138
533253060,149608.645167619
535179050,140574.69914777
903476100,92256.9273480858
533135020,249118.942577015
527403120,99546.0240579001
528429080,282390.424336033
528354100,278179.355386471
902427150,108759.802828406
527226040,174748.12083437
924100060,184410.725168585
531452180,204405.829163577
907252050,202850.935185461
903236200,110726.216532366
910201130,123704.003710104
909100080,106649.717138242
535402010,172740.884644001
528186100,334132.753901141
905225020,168411.20090943
905201110,164696.226557169
527158090,176555.333242241
528175010,213631.744382022
902401010,116807.000622782
534251320,152911.12427876
902109120,127576.802717281
528290170,192929.199350543
534252060,139833.596789156
905475510,100152.704336153
527425060,113742.067201114
534201130,134315.942281625
526302110,118974.404532313
903430050,75974.7580508915
902110130,91743.865620227
534401110,147792.328654944
528231020,182491.653281487
531479020,82771.4538195802
905403060,120565.668518789
916326010,223412.4893905
527365030,238660.606788898
528228295,207734.764762019
527455250,126190.260012935
916403040,179874.653361727
527252090,330821.477478084
908225240,103649.168757855
528228285,163282.153823407
908178050,239849.177131986
916326040,173847.896390745
916380060,258572.918229794
903204010,128716.575052864
528144020,210812.979574013
906204230,244344.852031978
528168030,291837.554065767
531369060,192024.911817694
535451100,102012.447281963
906380010,197018.100951161
527450460,113258.967075828
534277070,116994.881378509
